id,name,email,experience,desired_position,tech_stack,created_at
20250827161711,abhishek dongre,abhihsek@gmail.com,3 years,SDE,"python,sql,.Net",2025-08-27T16:17:11.009772
20250827161844,abhishek dongre,abdas@gmail.com,4 years,SDE,"python,sql",2025-08-27T16:18:44.370299
20250827182720,Akash Dongre,akashdongre@gmail.com,4 year,front end developer,"html,css,bootstrap",2025-08-27T18:27:20.503621
20250827184204,nishi chaudary,nishhi@09.com,0 years,CEO,"phyton, java, data managment",2025-08-27T18:42:04.368080
20250827185744,sdasds asdasd,dasd@gmail.com,3 years,software enginer,python,2025-08-27T18:57:44.303641
20250827191448,abhihse asdas,asdas@asdas.com,2 months,software devlopemnet,sql,2025-08-27T19:14:48.270413
20250827191652,nishi cahda,asdklakndkw@9.com,0 years,CEO,phyton,2025-08-27T19:16:52.625728
20250827192205,abhishek dongre,asdas@gmail.com,2 months,manager,"english, french",2025-08-27T19:22:05.753688
20250827192333,abhishek wii,sdas@gmail.com,2 months,manager,"sql, .net",2025-08-27T19:23:33.572658
20250827192819,abdasdasd sfdasd,dasd@gmail.com,4 months,software engineer,"java, css, html",2025-08-27T19:28:19.377592
20250827193717,sadas asdas,sdas@gmai.com,afadf,SDE,"python, sql",2025-08-27T19:37:17.083366
20250827194004,fgf  fg,sad@gmail.com,3 y,SDE,"assa,fd,gh",2025-08-27T19:40:04.111326
20250827194722,ddd kkk,asad@gmail.com,3 months,Developer,"python, django",2025-08-27T19:47:22.210508
20250827201012,avhi hkyy,adff@gmail.com,4 year,software engineer,"python,http,web",2025-08-27T20:10:12.837966
20250827201012,avhi hkyy,adff@gmail.com,4 year,software engineer,ok,2025-08-27T20:10:28.124780
20250827202448,abhishek dongre,asda@gmail.com,3 years,software engineer,python sq,2025-08-27T20:24:48.801892
20250827202448,abhishek dongre,asda@gmail.com,3 years,software engineer,jj,2025-08-27T20:24:54.983373
20250827203315,asda dfd,sdas@gmail.com,3 years,SDE,"python,sql,html,css,java",2025-08-27T20:33:15.265917
20250827204435,simran ulli,simran@gmail.com,2 years,ML engineer,"python,tensorflow,nlp",2025-08-27T20:44:35.243061
20250828112316,abhishek dongre,abhishek@gmail.com,2 years,SDE,python,2025-08-28T11:23:16.472270
20250828112833,asa df,asd@gmail.com,3 y,SDE,"python, sql",2025-08-28T11:28:33.631679
20250828114619,Glen Maxwell,glen@gmail.com,4 years,SDE,"java, sql, .net",2025-08-28T11:46:19.806327
